id,accuracy,title
084,0.6571596449629236,"Shawn Mendes, Camila Cabello - Señorita_separated.lab"
085,0.6208907922674769,Clean Bandit - Symphony (feat. Zara Larsson) [Official Video]_separated.lab
086,0.6523433294713803,Keith Urban - God Whispered Your Name (Official Music Video)_separated.lab
087,0.7602540049058952,Keith Urban - Sweet Thing (Official Music Video)_separated.lab
088,0.6842620916655676,Ariana Grande - Dangerous Woman_separated.lab
089,0.47159870352976857,"Ariana Grande, The Weeknd - Love Me Harder (Official Video)_separated.lab"
090,0.5394199397454879,Ariana Grande - Wit It This Christmas (Audio)_separated.lab
091,0.6123718428879035,Katy Perry - Teenage Dream (Official Music Video)_separated.lab
092,0.5987777815693833,Katy Perry - Firework (Official Music Video)_separated.lab
093,0.9069873311457881,Avril Lavigne - We Are Warriors (Official Video)_separated.lab
094,0.9009263477559025,Hello_separated.lab
095,0.8274951442872005,Someone Like You_separated.lab
096,0.7446328536645411,Rolling in the Deep_separated.lab
097,0.7667318783844919,Set Fire To The Rain_separated.lab
098,0.8927191705336822,天使_separated.lab
099,0.8346719845475935,Avenged Sevenfold - So Far Away (Official Music Video)_separated.lab
100,0.8688632001527743,Dear God_separated.lab
101,0.707011457683462,It's My Life_separated.lab
102,0.8510821035886379,Livin' On A Prayer_separated.lab
103,0.8439127826495518,You Give Love A Bad Name_separated.lab
104,0.7847500147103367,Havana_separated.lab
105,0.7694211223819147,My Heart Will Go On (Love Theme from 'Titanic')_separated.lab
106,0.5778925114354494,It's All Coming Back to Me Now_separated.lab
107,0.34976386595541487,Spain_separated.lab
108,0.4030507733236838,Coldplay - Yellow (Official Video)_separated.lab
109,0.40694144678520455,Take Five_separated.lab
110,0.8447518809014924,David Guetta - Titanium ft. Sia (Official Video)_separated.lab
111,0.015574142995172862,Layla (40th Anniversary Version _ 2010 Remastered)_separated.lab
112,0.31624144319840825,Blue Bossa_separated.lab
113,0.8477765966695537,Mulan _ I'll Make A Man Out Of You _ Disney Sing-Along_separated.lab
114,0.6538210983436508,The Little Mermaid _ Under the Sea _ Lyric Video _ Disney Sing Along_separated.lab
115,0.6956968245887081,Ed Sheeran - Shape of You [Official Video]_separated.lab
116,0.6994630015689498,Perfect - Ed Sheeran (Lyrics)_separated.lab
117,0.6486030146492661,Ed Sheeran - Thinking Out Loud [Official Video]_separated.lab
118,0.7096940022506892,Imagine Dragons - Radioactive_separated.lab
119,0.8676140223083408,Jason Mraz - I'm Yours (Official Video)_separated.lab
120,0.772840180737157,Slow Dancing in a Burning Room_separated.lab
122,0.7381507019594564,Any Way You Want It_separated.lab
123,0.6795027412823849,Poker Face_separated.lab
124,0.6193479755567328,When You Believe (from 'The Prince of Egypt')_separated.lab
125,0.5730379803251013,Without You_separated.lab
126,0.9026411743758366,Maroon 5 - Girls Like You ft. Cardi B (Official Music Video)_separated.lab
127,0.8278294335845479,Maroon 5 - Animals (Lyric Video)_separated.lab
